,title_id,cluster,acquiring_power,title_name
0,GYsYeoAxKH8LCwgEAAAOR,1,17738758.0,House of the Dragon
1,GXKN_xQX5csPDwwEAAABj,3,19389835.0,Euphoria
2,GXr7SEgRi2sLCAAEAAAQu,6,13158816.0,South Park
3,GXdbR_gOXWJuAuwEAACVH,3,11635267.0,Friends
4,GVU2cggagzYNJjhsJATwo,1,15997434.0,Game of Thrones
5,GYiDbSAmIpMNvYAEAAAAI,7,16205823.0,The Batman
6,GXkRjxwjR68PDwwEAABKJ,6,11497910.0,Rick and Morty
7,GXdRsewUPO5uAuwEAABEI,3,9077039.0,The Big Bang Theory
8,GVU2cCgUFTYNJjhsJATuH,2,5234244.0,Last Week Tonight With John Oliver
9,GX5MHsQzwwIuLwgEAAACp,2,12137908.0,The Flight Attendant
10,GYbDO6QFHOsPCwgEAAAMR,2,5165286.0,Winning Time: The Rise of the Lakers Dynasty
11,GYb0FKQLsGIyPfQEAAAAM,5,9417136.0,Peacemaker
12,GV7xwpQNK8MJfPwEAAAG_,1,8439306.0,Westworld
13,GYdYmPQZFO7eZGAEAAAAT,5,8759774.0,Free Guy
14,GWmKDEwGrA8JInwEAAAL6,2,5984132.0,Barry
15,GYij31wBohZA3MQEAAAKa,5,9490771.0,Fantastic Beasts: The Secrets of Dumbledore
16,GYZLijQsvoJKWWQEAAAB6,2,5660398.0,The Gilded Age
17,GYeGXugg4ewPCwgEAABi1,5,8066056.0,The King's Man
18,GYYxBtQFFnmbDBwEAAAAE,3,9640912.0,And Just Like That...
19,GYk93MwWuH4BJoAEAAABu,2,5966204.0,The Staircase
20,GXRuC4gJdpm2YwgEAAAF_,6,5810542.0,The Righteous Gemstones
21,GYfim_QUVfBqboQEAAAC-,4,7329403.0,F9: The Fast Saga
22,GVU2b9AHpHo7DwvwIAT4i,2,8295052.0,The Sopranos
23,GYiaPwAgBBJuGtwEAAAFs,1,6898897.0,Old
24,GYuwmqAnwQZa8kAEAAAE-,1,10432382.0,Elvis
25,GXssCvwxYD76jiAEAAAAy,5,13298698.0,Harry Potter and the Sorcerer's Stone (2001)
26,GXrMEtQ8sromBSgEAAAK1,7,6922574.0,The Boondocks
27,GXodE-Q8aYbDCYwEAAAQT,1,1656325.0,Dune (1984)
28,GYUjdLgBiJp5otAEAAAAJ,1,15651154.0,Dune
29,GYIBToQrPdotpNQEAAAEa,2,5790511.0,Hacks
30,GX0WFcAlf5r5cuAEAAADu,1,7015593.0,Raised by Wolves
31,GYnXC6AfPOsPCwgEAAAAb,3,5823195.0,Father of the Bride
32,GXyINwwZTCZ28vgEAAAIb,3,128604.0,Father of the Bride (1950)
33,GVU2eMAEI2I7DwvwIAUDI,2,3310432.0,Real Time With Bill Maher
