,Type,Channel,Title_x,Year,Genre,Runtime,Bucket,MPM from Prior List,Tentpole,Additional Titles to Pull,PRODUCT ID_x,Product ID,Co-Fi?,Unnamed: 13,UPDATED PRODUCT ID,Different than Original?,Title_y,imdb_id,PRODUCT ID_y,page_views
0,Movie,Action,"Matrix, The",1999.0,ACTION ,2.25,A,not in prior list,Yes,,2003656.0,1002779.0,Yes,,2003656.0,No,"Matrix, The",tt0133093,2003656.0,117986.99171264001
1,Movie,Action,Terminator 4: Salvation,2009.0,ACTION ,1.92,A,not in prior list,Yes,,2047893.0,1029144.0,No,,2047893.0,No,Terminator 4: Salvation,tt0438488,2047893.0,32433.70803460763
2,Movie,Action,Rush Hour,1998.0,ACTION ,1.62,A,not in prior list,Yes,,2017113.0,1013422.0,No,,2017113.0,No,Rush Hour,tt0120812,2017113.0,28202.101477628992
3,Movie,Action,Clash Of The Titans (2010),2010.0,ACTION ,1.77,A,not in prior list,Yes,,2043312.0,1026752.0,No,,2043312.0,No,Clash Of The Titans (2010),tt0800320,2043312.0,25588.306316377857
4,Movie,Action,"Fugitive, The",1993.0,ACTION ,2.13,A,not in prior list,Yes,,2005837.0,1004597.0,No,,2003257.0,Yes,"Fugitive, The",tt0106977,2003257.0,33430.35402337958
5,Movie,Action,Eraser,1996.0,ACTION ,1.92,A,not in prior list,Yes,,2003430.0,1002553.0,No,,2003430.0,No,Eraser,tt0116213,2003430.0,9114.840790337083
6,Movie,Action,Robin Hood: Prince of Thieves,1991.0,ACTION ,2.3,A,not in prior list,Yes,,2002526.0,1001864.0,No,,2002526.0,No,Robin Hood: Prince of Thieves,tt0102798,2002526.0,29320.59654409799
7,Movie,Action,"Long Kiss Goodnight, The",1996.0,ACTION ,2.0,A,not in prior list,Yes,,2017002.0,1013312.0,No,,2017002.0,No,"Long Kiss Goodnight, The",tt0116908,2017002.0,14381.502284492188
8,Movie,Action,Under Siege,1992.0,ACTION ,1.72,B,not in prior list,Yes,,2003073.0,1002215.0,Yes,,2003073.0,No,Under Siege,tt0105690,2003073.0,23777.12573213114
9,Movie,Action,Hard to Kill,1990.0,ACTION ,1.6,B,not in prior list,Yes,,2002469.0,1001807.0,No,,2002469.0,No,Hard to Kill,tt0099739,2002469.0,7204.326718837339
10,Movie,Action,300 (2007),2007.0,ACTION ,1.95,A,not in prior list,Yes,,2035604.0,1024194.0,No,,2035604.0,No,300 (2007),tt0416449,2035604.0,62243.02533599048
11,Movie,Action,Blade,1998.0,ACTION ,2.0,A,not in prior list,Yes,,2016978.0,1013292.0,No,,2016978.0,No,Blade,tt0120611,2016978.0,26256.489573966508
12,Movie,Action,Shaft (2019),2019.0,ACTION ,1.85,A,not in prior list,Yes,,2074539.0,1041763.0,No,,2074539.0,No,Shaft (2019),tt4463894,2074539.0,16321.816402167835
13,Movie,Action,Rampage (2018),2018.0,ACTION ,1.78,A,not in prior list,Yes,,2062504.0,1035795.0,No,,2062504.0,No,Rampage (2018),tt2231461,2062504.0,25982.991372396526
14,Movie,Action,"Accountant, The",2016.0,ACTION ,2.13,A,not in prior list,Yes,,2063725.0,1036335.0,No,,2063725.0,No,"Accountant, The",tt2140479,2063725.0,40348.60029892823
15,Movie,Action,Point Break (2015),2015.0,ACTION ,1.9,A,not in prior list,No,x,2067355.0,1037764.0,No,,2067355.0,No,Point Break (2015),tt2058673,2067355.0,16397.309852480128
16,Movie,Action,Edge of Tomorrow,1905.0,ACTION ,1.88,A,not in prior list,No,x,2054390.0,1032708.0,Yes,,2054390.0,No,Edge of Tomorrow,tt1631867,2054390.0,105698.11489294477
17,Movie,Action,Getaway (2012),2013.0,ACTION ,1.61,B,not in prior list,No,x,2055986.0,1033665.0,No,,2055986.0,No,Getaway (2012),tt2167202,2055986.0,2319.105815733832
18,Movie,Action,Bullet To The Head,2013.0,ACTION ,1.53,B,not in prior list,No,x,2051450.0,1031159.0,No,,2051450.0,No,Bullet To The Head,tt1308729,2051450.0,4876.612000874911
19,Movie,Action,RocknRolla,2008.0,ACTION ,1.91,B,not in prior list,No,x,2046370.0,1028312.0,No,,2046370.0,No,RocknRolla,tt1032755,2046370.0,16546.31008335966
20,Movie,Action,Shoot 'Em Up,2007.0,ACTION ,1.43,C,not in prior list,No,x,2042187.0,1026350.0,No,,2042187.0,No,Shoot 'Em Up,tt0465602,2042187.0,8146.008177995965
21,Movie,Action,Highwaymen,2004.0,ACTION ,1.3,C,not in prior list,No,x,2025304.0,1019483.0,No,,2025304.0,No,Highwaymen,tt0339147,2025304.0,2366.7858896152816
22,Movie,Action,15 Minutes,2001.0,ACTION ,1.83,C,not in prior list,No,,2017124.0,1013433.0,No,,2017124.0,No,15 Minutes,tt0179626,2017124.0,2464.132707123241
23,Movie,Action,Get Carter (2000),2000.0,ACTION ,1.7,C,not in prior list,No,,2004596.0,1003687.0,No,,2004596.0,No,Get Carter (2000),tt0208988,2004596.0,4741.518458210805
24,Movie,Action,"Corruptor, The",1999.0,ACTION ,1.83,B,not in prior list,No,,2017126.0,1013435.0,No,,2017126.0,No,"Corruptor, The",tt0142192,2017126.0,2042.2964979220835
25,Movie,Action,Fire Down Below,1997.0,ACTION,1.71,C,not in prior list,No,,2003571.0,1002694.0,No,,2003571.0,No,Fire Down Below,tt0119123,2003571.0,4061.415182151797
26,Movie,Action,Jackie Chan's First Strike,1997.0,ACTION ,1.46,C,not in prior list,No,,2017077.0,1013386.0,No,,,,,,,
27,Movie,Action,"Getaway, The (1994)",1994.0,ACTION ,1.9,C,not in prior list,No,,2003333.0,1002456.0,No,,2003333.0,No,"Getaway, The (1994)",tt0109890,2003333.0,4634.900515225897
28,Movie,Action,Falling Down,1993.0,ACTION ,1.86,C,not in prior list,No,,2003246.0,1002369.0,Yes,,2003246.0,No,Falling Down,tt0106856,2003246.0,44193.468478868446
29,Movie,Action,Fit to Kill,1993.0,ACTION ,1.56,C,not in prior list,No,,2002740.0,1002078.0,No,,2002740.0,No,Fit to Kill,tt0106922,2002740.0,426.4717719396311
30,Movie,Action,"Hitman, The",1992.0,ACTION ,1.6,C,not in prior list,No,,2002630.0,1001968.0,No,,,,,,,
31,Movie,Action,Showdown in Little Tokyo,1991.0,ACTION ,1.98,C,not in prior list,No,,2002541.0,1001879.0,No,,2002541.0,No,Showdown in Little Tokyo,tt0102915,2002541.0,4956.741013925681
32,Movie,Action,American Kickboxer,1991.0,ACTION ,1.6,C,not in prior list,No,,2002624.0,1001962.0,No,,2002624.0,No,American Kickboxer,tt0101325,2002624.0,274.1604248183342
33,Movie,Action,Born to Ride,1991.0,ACTION ,1.5,C,not in prior list,No,,2002531.0,1001869.0,Yes,,,,,,,
34,Movie,Action,If Looks Could Kill,1991.0,ACTION ,1.46,C,not in prior list,No,,2002530.0,1001868.0,No,,2002530.0,No,If Looks Could Kill,tt0102095,2002530.0,2972.0579386103477
35,Movie,Action,"Rookie, The",1990.0,ACTION ,2.01,C,not in prior list,No,,2020072.0,1015267.0,No,,2002485.0,Yes,"Rookie, The",tt0100514,2002485.0,4945.483218703672
36,Movie,Action,Street Justice,1987.0,ACTION ,1.55,C,not in prior list,No,,2012965.0,1010504.0,No,,2012965.0,No,Street Justice,tt0098395,2012965.0,284.09377354363625
37,Movie,Action,Hard Ticket to Hawaii,1987.0,ACTION ,1.6,C,not in prior list,No,,2012892.0,1010431.0,No,,2012892.0,No,Hard Ticket to Hawaii,tt0093146,2012892.0,1892.634043794201
38,Movie,Action,Quiet Cool,1986.0,ACTION ,1.38,C,not in prior list,No,,2016780.0,1013106.0,No,,2016780.0,No,Quiet Cool,tt0091815,2016780.0,256.9426203611442
39,Movie,Action,Cobra,1986.0,ACTION ,1.46,C,not in prior list,No,,2005034.0,1003981.0,No,,,,,,,
40,Movie,Action,Red Sonja,1985.0,ACTION ,1.48,C,not in prior list,No,,2012573.0,1010146.0,No,,2012573.0,No,Red Sonja,tt0089893,2012573.0,11196.870683160376
41,Movie,Action,Gymkata,1985.0,ACTION ,1.5,C,2012570,No,,2012570.0,1010143.0,No,,2012570.0,No,Gymkata,tt0089243,2012570.0,2059.5143023792743
42,Movie,Action,City Heat,1984.0,ACTION ,1.63,C,not in prior list,No,,2002123.0,1001468.0,No,,2002123.0,No,City Heat,tt0087062,2002123.0,2423.73708897368
43,Movie,Action,Razorback,1984.0,ACTION ,1.58,C,not in prior list,No,,2002124.0,1001469.0,No,,2002124.0,No,Razorback,tt0087981,2002124.0,2591.279570807106
44,Movie,Action,Malibu Express,1984.0,ACTION ,1.68,C,not in prior list,No,,2012890.0,1010429.0,No,,2012890.0,No,Malibu Express,tt0089539,2012890.0,1101.9394852601647
45,Movie,Action,Hearts and Armour,1983.0,ACTION ,1.68,C,not in prior list,No,,2002095.0,1001440.0,No,,2002095.0,No,Hearts and Armour,tt0086074,2002095.0,368.85834933287964
46,Movie,Action,Forced Vengeance,1982.0,ACTION ,1.71,C,not in prior list,No,,2011974.0,1009629.0,No,,2011974.0,No,Forced Vengeance,tt0083960,2011974.0,1099.9528155151042
47,Movie,Action,Firefox,1982.0,ACTION ,2.16,C,not in prior list,No,,2002028.0,1001377.0,No,,2002028.0,No,Firefox,tt0083943,2002028.0,5333.5460422388005
48,Movie,Action,Sharky's Machine,1981.0,ACTION ,2.03,C,not in prior list,No,,2002006.0,1001356.0,No,,2002006.0,No,Sharky's Machine,tt0083064,2002006.0,3244.231693683621
49,Movie,Action,Bronco Billy,1980.0,ACTION ,1.98,C,2001958,No,,2001958.0,1001308.0,No,,2001958.0,No,Bronco Billy,tt0080472,2001958.0,2406.5192845164897
50,Movie,Action,When Time Ran Out,1980.0,ACTION,2.41,CLASSIC,not in prior list,No,,2001932.0,1001283.0,No,,2001932.0,No,When Time Ran Out,tt0081747,2001932.0,8140.710392009136
51,Movie,Action,"In-Laws, The (1979)",1979.0,ACTION ,1.71,CLASSIC,not in prior list,No,,2001934.0,1001285.0,No,,2001934.0,No,"In-Laws, The (1979)",tt0079336,2001934.0,2762.1331688823
52,Movie,Action,Beyond the Poseidon Adventure,1979.0,ACTION ,2.03,CLASSIC,not in prior list,No,,2001921.0,1001273.0,No,,2001921.0,No,Beyond the Poseidon Adventure,tt0078856,2001921.0,8745.982441004202
53,Movie,Action,Avalanche Express,1979.0,ACTION ,1.46,CLASSIC,not in prior list,No,,2011347.0,1009069.0,No,,2011347.0,No,Avalanche Express,tt0078812,2011347.0,1902.567392519503
